title,propertyType,bedrooms,bathrooms,sizeSqFeetMax,price,descriptionHtml
Elegant Chelsea Garden Flat,Flat,2,2,940,"£1,150,000","Bright second-floor Chelsea flat with walnut flooring, bespoke storage, a south-facing reception room and a newly fitted kitchen moments from Sloane Square."
Canary Wharf Riverside Apartment,Apartment,2,2,880,"£925,000","Modern riverside apartment with skyline views, concierge service, open-plan living and direct access to Canary Wharf stations and the Elizabeth line."
Shoreditch Loft Conversion,Loft,1,1,760,"£735,000","Warehouse-style loft with exposed brick, high ceilings, steel-framed windows and flexible living space near Shoreditch High Street and Old Street."
Notting Hill Family Maisonette,Maisonette,3,2,1280,"£1,480,000","Stylish maisonette arranged over two floors with a private terrace, pastel-fronted street setting and easy reach of Portobello Road."
Kensington Lateral Residence,Apartment,3,3,1560,"£2,450,000","Elegant lateral apartment with porter, lift access, formal reception space and refined finishes close to Kensington High Street."
Clapham Common Victorian House,House,4,3,1860,"£1,695,000","Renovated Victorian family house with garden studio, shaker kitchen, generous entertaining rooms and quick links to the Northern line."
Islington Canal-Side Flat,Flat,2,1,810,"£780,000","Quiet canal-side flat with timber floors, Juliet balcony, contemporary kitchen and easy walks to Upper Street, Angel and Regent's Canal."
Greenwich Park Townhouse,Townhouse,4,3,2010,"£1,420,000","Handsome townhouse overlooking leafy Greenwich streets with landscaped garden, period fireplaces and fast DLR and rail connections."
Richmond Hill Georgian Home,House,5,4,2740,"£2,850,000","Grand Georgian home near Richmond Park with elegant proportions, mature garden, wine room and off-street parking."
Wimbledon Village Cottage,Cottage,3,2,1325,"£1,260,000","Charming cottage close to Wimbledon Common with a cosy snug, skylit kitchen extension and a landscaped courtyard garden."
Battersea Power Station View Apartment,Apartment,2,2,905,"£1,020,000","Sophisticated apartment with winter garden, river-facing views and resident amenities moments from Battersea Power Station."
Camden Warehouse Flat,Flat,1,1,690,"£625,000","Edgy warehouse conversion with exposed services, polished concrete floors and immediate access to Camden's music venues and markets."
Hampstead Heath Garden Apartment,Apartment,2,2,970,"£1,180,000","Boutique garden apartment with leafy outlooks, marble bathrooms and direct access to a private patio near Hampstead Heath."
Fulham Riverside Duplex,Duplex,3,2,1410,"£1,365,000","Generous duplex with river glimpses, open dining kitchen and a separate study, set within a smart Fulham riverside development."
Hackney Creative Studio Flat,Studio,1,1,540,"£485,000","Compact studio with high-spec joinery, industrial touches and an energetic Hackney setting near London Fields and Broadway Market."
Marylebone Period Conversion,Flat,2,2,890,"£1,240,000","Beautifully refurbished period conversion with sash windows, bespoke wardrobes and a short walk to Baker Street and Regent's Park."
Southbank Cultural District Apartment,Apartment,2,2,860,"£990,000","Well-appointed apartment with balcony, concierge and immediate access to Southbank galleries, theatres and Waterloo transport."
Belsize Park Penthouse,Penthouse,3,3,1675,"£2,150,000","Top-floor penthouse with wraparound terrace, wide city views and a luxurious principal suite close to Belsize Park Underground."
Barnes Riverside Family House,House,4,3,2140,"£2,050,000","Elegant Barnes family house with west-facing garden, utility room, garden office and a village-like setting near the river."
King's Cross Contemporary Flat,Flat,1,1,610,"£675,000","Contemporary flat in a smart King's Cross block with concierge, gym access and excellent links to Eurostar and major tech campuses."
Mayfair Boutique Apartment,Apartment,1,1,720,"£1,560,000","Luxurious Mayfair apartment with concierge, designer kitchen and discreet elegance moments from Bond Street and Hyde Park."
